spid	artist	album	song	taglist
1qLeEu4iXEclkLwoBlMiou	Taylor Swift	Red	Stay Stay Stay	spotify:2013
4wVAabHDBWOHitdBX1lI2m	Chris Wallace	Push Rewind	Do It All Again	spotify:2013
6Cra4GLG5fE5M3aiVQ3SVk	Kelly Clarkson	Tie It Up	Tie It Up	spotify:2013
5hmzZFg9ZCdMKywwWPRJFR	Stereo Skyline	Tongue Tied	Tongue Tied	spotify:2013
5kQmwu5wpUOGx1CUD1A5w3	Stereo Skyline	Stuck On Repeat	Over It	spotify:2013
0CJc317sizYq00c8Vln2gz	Stereo Skyline	Stuck On Repeat	Chemistry	spotify:2013
517YSAEZ7ywRgbC2bwZBsp	Stereo Skyline	Stuck On Repeat	A Little More Us	spotify:2013
5ti0Sf4WucZSIlgmp1JQ8A	Stereo Skyline	The Good Life	Man I Think I Love Her	spotify:2013
5YwM5i9J6DOnbQeyxwaDJf	Stereo Skyline	The Good Life	Kiss Me In The Morning	spotify:2013
0Skt4hF5hGzDOt3e7NzY0w	Stereo Skyline	The Good Life	That Everything	spotify:2013
7yZHahdTkWPc3zKdkZcuMX	Stereo Skyline	The Good Life	Why Not	spotify:2013
568vjBkAt92EaAgKbtPCMn	Sum 41	Underclass Hero	King Of Contradiction	spotify:2013
6MfusxFNdmhzrZ0qiatZzv	Shout Out Louds	Howl Howl Gaff Gaff	Shut Your Eyes	spotify:2013
6dXizHF3KbmdvOgvMAhnQC	Sum 41	Underclass Hero	Underclass Hero	spotify:2013
1RC9slv335IfLce5vt9KTW	The Goo Goo Dolls	Dizzy Up The Girl	Acoustic #3	spotify:2013
7p1PhtGLjq0ISncRXBHqXY	The Goo Goo Dolls	Greatest Hits Volume One - The Singles	Here Is Gone	spotify:2013
0eG5CqXwJpa5MBjYyg1lRm	The Goo Goo Dolls	Greatest Hits Volume One - The Singles	Slide	spotify:2013
3kI8fSpOQmL5ax63lBOuH3	The Goo Goo Dolls	Greatest Hits Volume One - The Singles	Black Balloon	spotify:2013
40YKbbV2lKAMzbQBO4vDOi	The Goo Goo Dolls	Greatest Hits Volume One - The Singles	Sympathy	spotify:2013
6vrUTGn5p8IrfTZ0J6sIVM	The Goo Goo Dolls	Greatest Hits Volume One - The Singles	Iris	spotify:2013
0QXSKayRWtfxMKHJxVurkZ	The Goo Goo Dolls	Magnetic (Deluxe Version)	Rebel Beat	spotify:2013
4p7isjE8RGKAYdjOdWijK7	Finger Eleven	Them vs. You. vs. Me (Deluxe Edition) and (Bonus Cuts)	Paralyzer	spotify:2013
