spid	artist	album	song	taglist
7LkIZGLz7OzLaF3okOC66M	Every Avenue	Shh, Just Go With It	Trading Heartbeats	spotify:owned
0iPwPYKEDFdRfkHv2vUIiH	Pearl Jam	Ten	Porch	spotify:owned
3HSkqVRl0x6LdolfYMtJlH	P!nk	I'm Not Dead	Leave Me Alone (I'm Lonely)	spotify:owned
0czO4aWymalGE9QT6ciJwG	Fm Static	What Are You Waiting For?	October - Fm Static Album Version	spotify:owned
5OIc9BvYU9FSMYFeomhkjV	Hootie & The Blowfish	Looking For Lucky	Leaving	spotify:owned
1EI2LKC3QpJjn7BN2FHqQY	Relient K	Five Score And Seven Years Ago	I'm Taking You With Me	spotify:owned
4BgFb1fQFpNoFNgOPUQ7U2	Pearl Jam	Ten	Garden	spotify:owned
3E9yeWG8DYUocLaXookQDC	Every Avenue	Picture Perfect	I Forgive You	spotify:owned
1GYmfW7vnyDqPeuKoCcy0d	Counting Crows	Films About Ghosts: The Best Of...	American Girls	spotify:owned
7DuH38EZHFR2aQmfeZvf2r	Jet	Shaka Rock	Times Like This	spotify:owned
6Y0oAzH4KiCmlBNxS5Ir3a	The Summer Set	Everything's Fine	Begin Again	spotify:owned
44s1007WDd1HI6iim6zYmV	Counting Crows	Saturday Nights & Sunday Mornings	When I Dream Of Michelangelo	spotify:owned
0PvWL5O5uBDh67XN0isfBw	Marianas Trench	Masterpiece Theatre	Celebrity Status	spotify:owned
5u6fnmRO5V0PTl5M2Eekeu	Jet	Get Born	Cold Hard Bitch	spotify:owned
6cSQSGa2tFufkTdlKs2TKN	P!nk	I'm Not Dead	U + Ur Hand	spotify:owned
0Zlqe9qOaYcOtmr5l9pnpn	Yellowcard	Ocean Avenue	Inside Out	spotify:owned
0zS1ZtdNksKW3wLcVsUp3P	Taylor Swift	Speak Now (Deluxe Package)	Better Than Revenge	spotify:owned
3xBCkdbYLceikTxmRz9CUC	Marianas Trench	Masterpiece Theatre	Perfect	spotify:owned
4gNNCbZFH3ENjPhtvuXWI9	The All-American Rejects	When The World Comes Down	Believe	spotify:owned
6a42PziBvoadV4NIH7Z5Lj	Marianas Trench	Marianas Trench	B Team	spotify:owned
3TKJGVS6qqKGjXlSlhQxD5	Fm Static	Dear Diary	The Shindig (Off To College)	spotify:owned
1ej2OZSZVwbSNjn0raFlRp	Hootie & The Blowfish	Looking For Lucky	Autumn Jones	spotify:owned
1oJSAzNyTUCm36zhFYMcAZ	Counting Crows	Films About Ghosts: The Best Of...	Big Yellow Taxi	spotify:owned
03kCR9HZpX5muU7D8xYPOL	Sara Bareilles	Little Voice	Many the Miles	spotify:owned
6LxdD5p7EX9rTPcOqfmFtq	Hootie & The Blowfish	Cracked Rear View	Not Even The Trees	spotify:owned
7AseZ6pD5GC0KqOyuI4WHN	TobyMac	Eye On It (Deluxe Edition)	Made for Me	spotify:owned
6nyeOkxSMKsRzT96ab2A01	Fm Static	3 Out Of 4 Ain't Bad	My First Stereo	spotify:owned
0N0mpTTlrz8zpkGMzmV2hC	Jet	Shaka Rock	Let Me Out	spotify:owned
2Nx5Nlo9JYsdHelzXIflSW	Counting Crows	Recovering The Satellites	Recovering The Satellites	spotify:owned
3SFbW6aA2J44Yp9URG6p7b	Counting Crows	Films About Ghosts: The Best Of...	Omaha	spotify:owned
1BgoUc7x26gHwUjLadWQzJ	Every Avenue	Picture Perfect	Clumsy Little Heart	spotify:owned
6e1kxFHqXcFZEcKmU60Cag	Jet	Shaka Rock	Start The Show	spotify:owned
1c4dnjYylnfd8bsZfY9Ugt	Counting Crows	Saturday Nights & Sunday Mornings	You Can't Count On Me	spotify:owned
1agT1o2mpJ3GHusAE8q0FX	The All-American Rejects	The All-American Rejects	The Last Song	spotify:owned
4qmYngZn4P9OdgfnDk7v0U	Hootie & The Blowfish	Looking For Lucky	Free To Everyone	spotify:owned
7HVdPreXCX4YKlPypMPjOk	Pearl Jam	Vitalogy	Better Man	spotify:owned
0w8vyNCN0chjtvOalhJDN1	Relient K	Five Score And Seven Years Ago	Bite My Tongue	spotify:owned
0Aa7TmRL355EG8fBtTyDeJ	Relient K	MMHMM	This Week The Trend	spotify:owned
3as6Wz3mwbTnusWhZjTUNr	Taylor Swift	Fearless Platinum Edition	You Belong With Me	spotify:owned
76QISI6WneWRJYMEcM4KOm	Jet	Shaka Rock	She Holds A Grudge	spotify:owned
2BEYPJQ83defV5ERaEtQ45	Hootie & The Blowfish	Looking For Lucky	Waltz Into Me	spotify:owned
0JIdBrXGSJXS72zjF9ss9u	Taylor Swift	Taylor Swift	I'm Only Me When I'm With You	spotify:owned
7rh66kkZgNeZPFywGHaj4C	TobyMac	Eye On It (Deluxe Edition)	Favorite Song - feat. Jamie Grace	spotify:owned
3V6iTpZhci748mC2Fod98t	Good Charlotte	Cardiology	1979	spotify:owned
1EKhZRURaeTNo4AN4I4luS	Counting Crows	Films About Ghosts: The Best Of...	Einstein On The Beach (For An Eggman)	spotify:owned
6HvGBgyevPFMrU3KPSHeRV	One Direction	Take Me Home: Yearbook Edition	She's Not Afraid	spotify:owned
6HGDET7pNrvF8I9nBv3u4S	Counting Crows	Saturday Nights & Sunday Mornings	Come Around	spotify:owned
7erMcVpzfWqMZ37F05o8Tx	Counting Crows	Films About Ghosts: The Best Of...	She Don't Want Nobody Near	spotify:owned
6EMvgaJhgcVBVSU6OcQMzQ	Relient K	The Bird And The Bee Sides	The Vinyl Countdown	spotify:owned
4F90TAUWATMoYuffJ1Wz3a	Relient K	The Bird And The Bee Sides	For The Band	spotify:owned
3OltYYcLZUhvho5QoRbUNr	Counting Crows	Films About Ghosts: The Best Of...	Accidentally In Love	spotify:owned
0M2OJahTTc8RF8aIEgwWBj	Relient K	The Bird And The Bee Sides	Here I Go (Demo)	spotify:owned
6vFD3c1WI1zuKoyk22dMw3	Good Charlotte	Good Charlotte	Little Things	spotify:owned
1VyDQtfhX6gqhWTGU7Oe8X	Bruce Springsteen	Greetings from Asbury Park, N.J.	Blinded by the Light	spotify:owned
697RpGgVTwkaucnhGdUS6b	Bruce Springsteen	Born To Run	Thunder Road	spotify:owned
7dhyG5sdLYlvR7uwDKa1fH	The Starting Line	Say It Like You Mean It	Up And Go	spotify:owned
4txPP75XTfTF4qEOImti39	Blues Traveler	Bridge	Back In The Day	spotify:owned
12lZTPlXwUtrQuhEty6098	P!nk	Raise Your Glass	Raise Your Glass	spotify:owned
5YTtTbqxUzJHD3CpbNHerP	Colbie Caillat	All Of You	Brighter Than The Sun	spotify:owned
54XizaCFu6LNbzNkkyrFaw	Blues Traveler	Straight On Till Morning	Carolina Blues	spotify:owned
68nobbyb543cdyFueZQnW2	Hellogoodbye	Zombies! Aliens! Vampires! Dinosaurs! And More!	All Of Your Love	spotify:owned
72phhQtfwZcRweweRxxkmU	Orianthi	Believe (II)	According To You	spotify:owned
56Tl3UgyZTqfZtvFNS31wm	Boys Like Girls	Boys Like Girls	The Great Escape	spotify:owned
500Tkm3vJmVtdUwdCVxCTb	Blues Traveler	Four	Run-Around	spotify:owned
4TmWB4wOo3iaVc9lAyYQUF	Hellogoodbye	Would It Kill You? (UK/Europe Deluxe Edition)	Finding Something To Do	spotify:owned
20X9OeC606XNwEtDBOym5u	Boys Like Girls	Love Drunk	Love Drunk	spotify:owned
0E7ErZsCePkOKFhNrWX8bx	Bruce Springsteen	Born To Run	Tenth Avenue Freeze-Out	spotify:owned
0BRHnOFm6sjxN1i9LJrUDu	Good Charlotte	The Young and The Hopeless	The Anthem	spotify:owned
3HoxSmAWq6hJmGU1gMgY6D	Blues Traveler	Straight On Till Morning	Felicia	spotify:owned
5QIRkLWvT2ufwWujqwNwG1	Blues Traveler	North Hollywood Shootout	You, Me And Everything	spotify:owned
0iL7ZVyCBIWbmCFAQPtEWC	Hellogoodbye	Hellogoodbye	Call N Return (Say That You're Into Me) - EP Version	spotify:owned
4Gpao0RtOcrBuedyutJWaP	Bruce Springsteen	Greetings from Asbury Park, N.J.	Growin' Up	spotify:owned
7DYWvQ1RS986e59CXJJGxx	Boys Like Girls	Boys Like Girls	Five Minutes To Midnight	spotify:owned
0z2XyEGE1NnlKl0sPTSERv	Blues Traveler	Bridge	Girl Inside My Head	spotify:owned
1n73qhc15KRyVTfPhyvk0h	Blues Traveler	Four	Stand	spotify:owned
42loEE51UDcecom9K8K4ei	Colbie Caillat	All Of You	I Do	spotify:owned
5ocpmxofqF3mAnxD3ShH7F	Marianas Trench	Marianas Trench	Haven't Had Enough	spotify:owned
6YtLmg1dwTo49xt6DODONr	Good Charlotte	Good Charlotte	WaldorfWorldwide	spotify:owned
4l5T1jpvgDDhuX6sMZShEq	Orianthi	Believe (II)	Shut Up & Kiss Me	spotify:owned
22WFnoGfkMApwWHAghW8V2	Colbie Caillat	Breakthrough (Deluxe Edition)	Begin Again	spotify:owned
2g2a5kDeZexbUTD8abcvm6	Good Charlotte	The Young and The Hopeless	Lifestyles of the Rich & Famous	spotify:owned
1fBl642IhJOE5U319Gy2Go	Neon Trees	Habits	Animal	spotify:owned
1XqJcTFcHQaVXgTXL90jDF	Colbie Caillat	All Of You	Before I Let You Go	spotify:owned
3528IXKpbb7OMjdjWYlbfD	Neon Trees	Picture Show (Deluxe Edition)	Everybody Talks	spotify:owned
1QXMtIQT44AL0Mcu46iLs9	Blues Traveler	Straight On Till Morning	Justify The Thrill	spotify:owned
5Og3LD4nFpB2ot0WSS05xf	Blues Traveler	Four	Look Around	spotify:owned
6FAhgsJHPMrBw2p1edPUno	Good Charlotte	Good Charlotte	The Motivation Proclamation	spotify:owned
5F5nfjzpmFPItqBz7GRDZE	Boys Like Girls	Boys Like Girls	On Top Of The World	spotify:owned
206fiDnIyKz1vh19qnOqIO	Blues Traveler	Bridge	Just For Me	spotify:owned
5GttWUZxYgLsWNdCMfisR0	Bruce Springsteen	Greetings from Asbury Park, N.J.	Does This Bus Stop at 82nd Street?	spotify:owned
1Up4RdOBpChNDytatxKDXP	The Starting Line	Say It Like You Mean It	The Best Of Me	spotify:owned
6R2QkjqfhsQhn3MsTYvMEz	Barenaked Ladies	Hits From Yesterday & The Day Before	One Week	spotify:owned
65ayd2DDPVlB1kovJYQqgm	Blues Traveler	Four	Fallible	spotify:owned
6ojNbW6OSQxjT2r1uQzjkU	Good Charlotte	Good Charlotte	East Coast Anthem	spotify:owned
1le5KVGTF1xWf2aUj7ruLy	Colbie Caillat	Breakthrough (Deluxe Edition)	Fallin' For You	spotify:owned
2dnncNWW2qbUiFRcc9an9p	Good Charlotte	The Young and The Hopeless	Wondering	spotify:owned
3Hv7Do4KhatdOGaasROBGA	Good Charlotte	The Chronicles of Life and Death ("LIFE" version)	S.O.S.	spotify:owned
5u2zF3jgEc9vRtSML0hyE7	Blues Traveler	Straight On Till Morning	Canadian Rose	spotify:owned
0rFOs9paloAvEtzwDX1Kmc	Colbie Caillat	Coco	Bubbly	spotify:owned
2BLkpiR7oE09eY8DHUk6Bx	Blues Traveler	Four	The Mountains Win Again	spotify:owned
3Q4TrciFW0rFrcKqyMZUCg	The All-American Rejects	Kids In The Street	Walk Over Me	spotify:owned
5jX5xqnu8scNMxozneru4x	Hellogoodbye	Would It Kill You? (UK/Europe Deluxe Edition)	You Sleep Alone	spotify:owned
7hObovvcbBpXgZHQ9if4WU	Pearl Jam	Yield	Wishlist	spotify:owned
5TjwiYZVMHVrGvRzbeCaV7	Good Charlotte	The Chronicles of Life and Death ("LIFE" version)	I Just Wanna Live	spotify:owned
3QwUpjdU50xoLQGrIMY1k2	Boys Like Girls	Love Drunk	Contagious	spotify:owned
4SC78M8D02qy2v8Jf7b6ef	Bruce Springsteen	Born To Run	Born to Run	spotify:owned
4DJLcyfnyEGlUejAEAX4az	Neon Trees	Habits	1983	spotify:owned
6fI6gZHvBxxSqvJYN8UiQd	Blues Traveler	North Hollywood Shootout	The Beacons	spotify:owned
3qYVWxnKN51r0mbQPuAp1v	The Friday Night Boys	Off The Deep End	Stuttering	spotify:owned
4xzZ7X3j2bPsTFrIJHdTLm	Plain White T's	Big Bad World	That Girl	spotify:owned
0szBdaK3wp2MGoUMudtcj9	Boys Like Girls	Love Drunk	Real Thing	spotify:owned
6AaBX9BWwQTjDtuqjoHELM	Orianthi	Believe (II)	Think Like A Man	spotify:owned
65mxB9IWpmVo4qUjdGSxRB	Good Charlotte	The Young and The Hopeless	Girls & Boys	spotify:owned
3VwHPAVmnGE58x9yt1Afqt	Blues Traveler	North Hollywood Shootout	Orange In The Sun	spotify:owned
24XLPD6Nzz5ZPFctYElnqM	Blues Traveler	Four	Freedom	spotify:owned
1Kl1sbP8FhFi2lcTVy1wPX	Blues Traveler	Straight On Till Morning	Yours	spotify:owned
1oxJ0H8FO9Pl83mieQxk98	Orianthi	Believe (II)	What's It Gonna Be	spotify:owned
698biOo9tijeTrOZ7WlLLC	Blues Traveler	Four	Crash & Burn	spotify:owned
218wztz9mZdDX8Ia1OkUvq	Bruce Springsteen	Greetings from Asbury Park, N.J.	For You	spotify:owned
61YQyPljTxoFtTxX6FAh8A	Marianas Trench	Masterpiece Theatre	Sing Sing	spotify:owned
4vdUXoXuzZoDhgCXcKeJyn	Bruce Springsteen	Born To Run	Jungleland	spotify:owned
