spid	artist	album	song	taglist
7IcigtMhSJd2zUYnmbKXFi	The Ready Set	Tantrum Castle	Giants	spotify:cycling
0sshl1C7Ra9UwIDjYKxZIQ	All Time Low	Don't Panic	Backseat Serenade	spotify:cycling
0EadsLgNAWWzRiEj9KTdCZ	The Starting Line	Say It Like You Mean It	Given The Chance	spotify:cycling
2V5Af1NdechvxPlJ9U3ga7	New Found Glory	Radiosurgery	Dumped	spotify:cycling
1MSAQKzTAJamjVjZDzlwRi	The Click Five	Greetings From Imrie House	Catch Your Wave	spotify:cycling
3lbfy6AavEGDudGKKpRNDu	The Starting Line	Say It Like You Mean It	Hello Houston	spotify:cycling
3anWQym2FPJbXeBA9uxkfs	Simple Plan	Still Not Getting Any	Promise - Domestic	spotify:cycling
4p1E8ztVyRPnrUailfbahO	The Red Jumpsuit Apparatus	Don't You Fake It	Waiting	spotify:cycling
0G71WvIkF2K6HViJeFvOcM	Miley Cyrus	Hannah Montana 2 / Meet Miley Cyrus	See You Again	spotify:cycling
131RmhQ2mHtY29K1xX3SHW	Miley Cyrus	Breakout	Breakout	spotify:cycling
2Ux9cliDHYrxsvV9YbmVLr	The Downtown Fiction	Let's Be Animals	Freak	spotify:cycling
1jCSShud8MACb6ZlJex1Zg	Alkaline Trio	This Addiction [Deluxe Edition]	Dine, Dine My Darling	spotify:cycling
3J0sfzpFmIGyy826HT3lL4	blink-182	Greatest Hits	Man Overboard	spotify:cycling
0hTFEWK4Rso35cjOlvZTHg	Green Day	Warning	Castaway	spotify:cycling
5wp1fKFDcCga70ygpDg4qu	The White Tie Affair	Walk This Way	Take It Home	spotify:cycling
1jGNjpHdQVaMBeSnpCv5Jy	Kelly Clarkson	All I Ever Wanted	Whyyawannabringmedown	spotify:cycling
7rXOUa2yrj80b49sYqV6Qy	Forever The Sickest Kids	Underdog Alma Mater	She's A Lady	spotify:cycling
0SPGL2j5OrG1L7YvP6tT6X	One Direction	Take Me Home: Yearbook Edition	I Would	spotify:cycling
4QjC1bzKbQ5zu3dh1FnNr5	Every Avenue	Shh, Just Go With It	Chasing the Night	spotify:cycling
0g4ExnfcMaWaPa5sQopOFb	New Found Glory	Radiosurgery	Drill It In My Brain	spotify:cycling
5CdKMLXa8wxcyUu6YflN2Z	The Click Five	Greetings From Imrie House	Good Day	spotify:cycling
7F6gtZBzU9HvpKU7WckVzN	Avril Lavigne	Under My Skin	He Wasn't	spotify:cycling
0mvkwaZMP2gAy2ApQLtZRv	Michael Bublé	To Be Loved	It's A Beautiful Day	spotify:cycling
7cQ1H3R3SAT1j93EHVdqZT	The Downtown Fiction	Let's Be Animals	She Knows	spotify:cycling
4DJLcyfnyEGlUejAEAX4az	Neon Trees	Habits	1983	spotify:cycling
72phhQtfwZcRweweRxxkmU	Orianthi	Believe (II)	According To You	spotify:cycling
69OUfopdGwDPowloIFVHsv	Fm Static	Dear Diary	Boy Moves To A New Town With Optimistic Outlook	spotify:cycling
02xZGBmcYz85z57Neu4GEI	Hit The Lights	Skip School, Start Fights	Breathe In	spotify:cycling
5xtI5OfdQNObIMffUL60v2	Hawk Nelson	Smile, It's The End Of The World	Bring Em Out	spotify:cycling
3GHJk4wGsMaJV1BkfNUlUx	Good Charlotte	Good Morning Revival	Broken Hearts Parade	spotify:cycling
7dVDWf0wud70V4PgYfKnaG	Green Day	Dookie	Burnout	spotify:cycling
