"ID","NAME","TYPE","MAJORS__C","INDUSTRIES__C","ACCTNUMBER__C"
"0017000000NJHDZAA5","SARAS Technology Limited","Customer","false","","8831"
"0017000000NJHInAAP","Cambridge Consultants","Customer","false","","9459"
"0017000000NJHKoAAP","BSC Filters Ltd","Customer","false","","3337"
"0017000000NJHTEAA5","Peak RF Limited","Customer","false","","9015"
"0017000000NJHsJAAX","LMW Electronics Ltd.","Prospect","false","",""
"0017000000NJI31AAH","Raytheon (CSC)","Customer","true","","154"
"0017000000NJKKiAAP","SELEX Communications Ltd. - Bristol","Customer","false","","9400"
"0017000000NJmkmAAD","ND Satcom","Customer","false","","2357"
"0017000000NJmmbAAD","Rosenberger Hochfrequenztechnik GmbH & Co.KG","Prospect","false","",""
"0017000000NJnjiAAD","Cobham Technical Services - ERA Technology","Customer","false","","206"
"0017000000NJnplAAD","Thales Land & Joint Systems - Crawley","Customer","false","","5471"
"0017000000NJnweAAD","TDK Electronics Ireland LTD","Out of Business","false","","1834"
"0017000000NJoI2AAL","Raytheon Systems, Ltd.","Customer","false","","10010098"
"0017000000NJwafAAD","Microwave Radio Communications","Customer","false","","6"
"0017000000NJxabAAD","Cobham Aerospace Communications","Prospect","true","",""
"0017000000NThjrAAD","Government of Israel","Customer","false","","10010105"
"0017000000NUQTaAAP","Astyx GmbH Communication & Sensors","Customer","false","","1063"
"0017000000NUQUjAAP","Baker Hughes INTEQ - Celle","Customer","false","","4840"
"0017000000NUVb5AAH","Sentec E&E Co. Ltd.","Prospect","false","",""
"0017000000NUVdAAAX","Transcom Inc","Customer","false","","662"
"0017000000NUZtzAAH","L-3 Communications - Communication Systems West","Customer","false","","344"
"0017000000NUaa9AAD","Qinetiq Ltd. - Parent","Customer","false","","186"
"0017000000NUbElAAL","Epic Communications","Customer","false","","10010026"
"0017000000NUcqhAAD","Department of Defense (DOD) - Maryland Procurement Office - Hanover","Customer","false","","1210"
"0017000000NUdB8AAL","Naval Research Laboratory (NRL) - Microwave Technology (Code 6850)","Customer","false","","461"
"0017000000NUg6TAAT","ZZZ","","false","",""
"0017000000NUgH1AAL","Ophir RF","Customer","false","","488"
"0017000000NUgIYAA1","Stellar Microelectronics","Customer","false","","1157"
"0017000000NUgIjAAL","ITT Corporation - EDO","Customer","false","","6356"
"0017000000NUgIkAAL","Diamond Engineering","Customer","false","","189"
"0017000000NUgJCAA1","Alta Engineering","Customer","false","","21"
"0017000000NUgSfAAL","Zidget","Customer","false","","9034"
"0017000000NUgUBAA1","Wavesat","Customer","false","","4759"
"0017000000NUgUHAA1","Microsoft","Other","false","",""
"0017000000NUgWlAAL","Varian (Agilent)","Customer","false","","7784"
"0017000000NUiFtAAL","TrellisWare Technologies","Customer","false","","9072"
"0017000000NUlbzAAD","Finmeccanica","Other","false","","9081"
"0017000000NUleVAAT","SELEX ES Ltd. - Edinburgh","Customer","false","","2871"
"0017000000NUlkpAAD","Selex Galileo","Customer","false","","Division"
"0017000000NUlquAAD","SELEX Galileo Ltd. (Sensors and Airborne Systems) - Luton","Customer","false","","2105"
"0017000000NUltfAAD","SELEX Galileo Ltd. - Basildon","Customer","false","","54"
"0017000000NUluHAAT","Selex Communications","","false","",""
"0017000000NUmAEAA1","SELEX Communications Ltd. - Christchurch","Customer","false","","8683"
"0017000000NUnC1AAL","Selex Communications Genova","Customer","false","","8847"
"0017000000NUnGAAA1","Selex Communications Pomezia","Customer","false","","8698"
"0017000000NUnH8AAL","Selex Sistemi Integrati","Customer","false","","4184"
"0017000000NUo8EAAT","Continental Automotive France SAS - Interior Body and Security, PG RF","Customer","false","","9448"
"0017000000NbwyZAAR","Technology Service Corporation - Phase IV Systems, Inc.","Customer","false","","6796"
"0017000000NcETxAAN","Thomson R&D","Prospect","false","","9498"
"0017000000NcLJUAA3","AMCOM Communications, Inc.","Customer","false","","23"
"0017000000NcM0wAAF","Burton Synthesizers","Customer","false","","9084"
"0017000000NcM1aAAF","Canadian Space Agency - John H. Chapman Space Centre","Customer","false","","3935"
"0017000000NcM2zAAF","Comtech Systems","Customer","false","","9057"
"0017000000NcNaBAAV","Crane Electronics - Olektron Operations","Customer","false","","7455"
"0017000000NcNapAAF","Delphi Automotive Systems - Parent","Customer","false","","9126"
"0017000000NcNbMAAV","Crescend Technologies, L.L.C.","Customer","false","","1998"
"0017000000NcNbmAAF","Elster Group","Prospect","false","","8722"
"0017000000NcNdMAAV","Dover Corporation","Prospect","false","","10040050"
"0017000000NcNdNAAV","NovelWave, LLC","Customer","false","","3132"
"0017000000NcNdgAAF","Vectron International - NH","Customer","false","","10010048"
"0017000000NcNdhAAF","K&L Microwave","Customer","false","","3314"
"0017000000NcNeyAAF","Emerson Network Power - Midwest Microwave","Off Maintenance","false","","9052"
"0017000000NcNfWAAV","Allen-Vanguard Corporation","Customer","false","","7197"
"0017000000NcNgFAAV","MEMtronics","Customer","false","","6084"
"0017000000NcNgXAAV","Crane Electronics Group","Customer","false","","1856"
"0017000000NcNgbAAF","Princeton Microwave Technology","Customer","false","","515"
"0017000000NcNhvAAF","Keithley Instruments, Inc","Customer","false","","3502"
"0017000000NcQLRAA3","IBM - STI Design Center Packaging Group","Customer","false","","7428"
"0017000000NcQcVAAV","EWA Government Systems","Customer","false","","7527"
"0017000000NcQkNAAV","Hemisphere GPS","Customer","false","","9099"
"0017000000NcQlGAAV","Linearizer Technology","Customer","false","","1142"
"0017000000NcQlnAAF","Sierra Nevada","Customer","false","","618"
"0017000000NcQnlAAF","Elbit Systems of America","Customer","false","","3327"
"0017000000NcQomAAF","SpaceLabs Medical","Customer","false","","6862"
"0017000000Ncc0pAAB","Panasonic Shikoku Electronics Co., Ltd.","Customer","false","","1812"
"0017000000Ncc8mAAB","Panasonic Corporation - Power Device Division, Semiconductor Business Division, Automotive & Industrial Systems Company","Customer","false","","383"
"0017000000Nccz1AAB","Mitsubishi Electric Corporation - Parent","Customer","false","","9023"
"0017000000Ncd1WAAR","Mitsubishi Electric Co., Ltd. - HF & Optical Device Works, HF Device Department","Customer","false","","935"
"0017000000NcuTpAAJ","Radio Frequency System A/S","Out of Business","false","","9507"
"0017000000Ncv3lAAB","Anadigics - GA","Prospect","false","","8166"
