custid|custname|city|country|territory|type|status|parentid|pname
4562|Quintenz (jan-14)|Neuried bei Mnnchen|DE|AWR-DE|Enterprise|Off Maintenance|4562|Quintenz (jan-14)
4564|Han Wha Co., Ltd/Gumi Plant (nov-07)|KyungBuk|KR|AWR-KR|Enterprise|Off Maintenance|4564|Han Wha Co., Ltd/Gumi Plant (nov-07)
457|National Chin-Yi Institute of Technology|Taichung|TW|AWR-NI|University|Ex-Customer|457|National Chin-Yi Institute of Technology
4573|Impulse (jul-03)|Moscow|RU|ETR|Enterprise|Off Maintenance|4573|Impulse (jul-03)
4575|Tropos Networks (sep-11)|CA|US|AWR-NW|Enterprise|Off Maintenance|4575|Tropos Networks (sep-11)
4587|Yantai Aeronautical Engineering Institute|Yantai|CN|AWR-NI|University|Ex-Customer|4587|Yantai Aeronautical Engineering Institute
4589|GE Global Research Center|NY|US|AWR-NE|Enterprise|On Maintenance|4589|GE Global Research Center
4601|MUCO Industrie B.V.|NH|NL|AWR-BNL|Enterprise|Off Maintenance|4601|MUCO Industrie B.V.
461|Naval Research Laboratory (NRL) - Microwave Technology (Code 6850)|DC|US|AWR-SE|Enterprise|On Maintenance|461|Naval Research Laboratory (NRL)
4621|Euan Information Technology|Seoul|KR|AWR-KR|Enterprise|Ex-Customer|4621|Euan Information Technology
4628|Microwave Photonics|CA|US|AWR-SW|Enterprise|Out of Business|4628|Microwave Photonics
4646|Norfolk State University|VA|US|AWR-SE|Enterprise|Ex-Customer|4646|Norfolk State University
4648|Serviciul de Protectie si Paza (jun-04)|Bucharest|RO|AWR-EU|Enterprise|No Service/Support|4648|Serviciul de Protectie si Paza (jun-04)
465|NEC Corporation - Sagamihara Research Laboratories|Kanagawa|JP|AWR-JP|Regional Office|Off Maintenance|9024|NEC
4660|Anadigics, Inc. - NJ|NJ|US|AWR-NE|Enterprise|On Maintenance|4660|Anadigics, Inc.
4665|High Tech Computer Corporation (HTC) - HsinTien (mar-12)|Taipei|TW|AWR-TSMC|Regional Office|Off Maintenance|2473|High Tech Computer Corporation (HTC)
467|NEC Engineering Co. (feb-00)|Kanagawa|JP|AWR-JP|Regional Office|Off Maintenance|9024|NEC
4676|St. Jude Medical - Cardiac Rhythm Management Division (CRMD)|JSrfSlla|SE|AWR-SC|Regional Office|Out of Business|10626|St. Jude Medical
4678|Montana State University|MT|US|AWR-NI|University|Ex-Customer|4678|Montana State University
4684|Dainichi Electronic Co., Ltd|Osaka|JP|AWR-JP|Enterprise|Off Maintenance|4684|Dainichi Electronic Co., Ltd
4686|JEOL Limited - Engineering System Department|Tokyo|JP|AWR-JP|Enterprise|On Maintenance|4686|JEOL Limited
469|Ceragon Networks Ltd. - UK|Worcestershire|GB|AWR-UK|Regional Office|Off Maintenance|4037|Ceragon Networks Ltd. 
47|Texas Instruments (TI) - Denmark (dec-09)|SV|DK|AWR-APL|Regional Office|Off Maintenance|6757|Texas Instruments (TI)
4705|Universidad Carlos III de Madrid|Madrid|ES|Default Value|University|On Maintenance|4705|Universidad Carlos III de Madrid
4705|Universidad Carlos III de Madrid|Madrid|ES|AWR|University|On Maintenance|4705|Universidad Carlos III de Madrid
4707|Amalfi Semiconductor, Inc.|CA|US|AWR-NW|Enterprise|Ex-Customer|4707|Amalfi Semiconductor, Inc.
471|Netro Corp (jun-03)|CA|US|AWR-NW|Enterprise|Off Maintenance|471|Netro Corp (jun-03)
4710|Universita degli Studi di Napoli Federic|Napoli|IT|AWR-NI|University|Ex-Customer|4710|Universita degli Studi di Napoli Federic
4722|National Central University - Department of Electrical Engineering|Taoyuan|TW|AWR-NI|University|Ex-Customer|451|National Central University
473|Nexyn Corporation|CA|US|AWR-NW|Enterprise|On Maintenance|473|Nexyn Corporation
4733|Broadcom Corporation - Sunnyvale|CA|US|AWR-NW|Site|On Maintenance|77|Broadcom Corporation
4735|Universita Politecnica delle Marche|Ancona|IT|AWR-NI|University|Ex-Customer|4735|Universita Politecnica delle Marche
4739|TDK-EPCOS AG - SAW Components, Ferrites, Inductors - Munich|Munich|DE|AWR-DE|Regional Office|On Maintenance|9240|EPCOS AG
4744|Naval Research Laboratory (NRL) - Materials Science & Technology (Code 6370) (apr-02)|DC|US|AWR-SE|Regional Office|Off Maintenance|461|Naval Research Laboratory (NRL)
4759|Wavesat, Inc. (oct-11)|QC|CA|AWR-NE|Enterprise|Off Maintenance|4759|Wavesat, Inc. (oct-11)
4762|Hughes Network Systems (oct-04)|MD|US|AWR-SE|Regional Office|Off Maintenance|4482|Hughes Network Systems
4763|Toshiba Research and Development|Kanagawa|JP|AWR-JP|Regional Office|On Maintenance|10040051|Toshiba
4766|FiBest|Tokyo|JP|AWR-JP|Enterprise|Ex-Customer|4766|FiBest
4774|CALPAK USA, Inc.|CA|US|AWR-SW|Enterprise|No Service/Support|4774|CALPAK USA, Inc.
4776|AWR Corporation - NW Region|CA|US|AWR-NW|Rep|On Maintenance|4776|AWR Corporation
478|Northrop Grumman - Electronic Systems - MD|MD|US|AWR-SE|Regional Office|On Maintenance|1015|Northrop Grumman Systems Corporation
4780|Fachhochschule Gelsenkirchen|Recklinghausen|DE|AWR-NI|University|Ex-Customer|4780|Fachhochschule Gelsenkirchen
4784|Microwave Photonics - UK|Suffolk|GB|AWR-UK|Regional Office|Out of Business|4628|Microwave Photonics
4792|Texas A&M University - Electrical Engineering|TX|US|Default Value|University|On Maintenance|4792|Texas A&M University
4792|Texas A&M University - Electrical Engineering|TX|US|AWR|University|On Maintenance|4792|Texas A&M University
4796|Synad Technologies Ltd|Berkshire|GB|AWR-UK|Enterprise|Ex-Customer|4796|Synad Technologies Ltd
4808|University of Macau - Faculty of Science & Technology|Taipa|MO|AWR-NI|University|On Maintenance|4808|University of Macau
482|Okayama Prefectual University|Okayama|JP|AWR-JP|University|On Maintenance|482|Okayama Prefectual University
484|Oki Electric Industry (aug-13)|Kanagawa|JP|AWR-JP|Enterprise|Off Maintenance|484|Oki Electric Industry (aug-13)
4840|Baker Hughes INTEQ - Celle|Celle|DE|AWR-DE|Regional Office|Off Maintenance|9195|Baker Hughes INTEQ
4844|Proceed Technology Inc. (mar-10)|Kanagawa|JP|AWR-JP|Enterprise|Off Maintenance|4844|Proceed Technology Inc. (mar-10)
4853|Signal Technology|TX|US|AWR-CE|Enterprise|Ex-Customer|4853|Signal Technology
486|Omron Corporation - Yokohama (jan-05)|Kanagawa-ken|JP|AWR-JP|Regional Office|Off Maintenance|9349|Omron Corporation
4860|University of New South Wales|New South Wales|AU|Default Value|University|On Maintenance|4860|University of New South Wales
4860|University of New South Wales|New South Wales|AU|AWR|University|On Maintenance|4860|University of New South Wales
4862|Rockwell Collins - Collins Road|IA|US|WTA|Enterprise|On Maintenance|4862|Rockwell Collins
488|Ophir RF|CA|US|AWR-SW|Enterprise|Off Maintenance|488|Ophir RF
4895|Intercept Technology - GA|GA|US|AWR-SE|Enterprise|Partner|4895|Intercept Technology
49|Avnet RF and Microwave|CA|US|AWR-NW|Regional Office|Ex-Customer|9510|Avnet
4906|K-Best Technology (jan-05)|Tao Yuan Hsein|TW|AWR-TSMC|Enterprise|Off Maintenance|4906|K-Best Technology (jan-05)
4907|Ferdinand-Braun-Institut|Berlin|DE|AWR-DE|Enterprise|Ex-Customer|4907|Ferdinand-Braun-Institut
4910|Drexel University - ECE Department|PA|US|AWR-NI|University|On Maintenance|4910|Drexel University
4912|R&D Marine Technology|Gdynia|PL|RSO|Enterprise|Off Maintenance|4912|R&D Marine Technology
4935|Diconex|Andilly|FR|AWR-FR|Enterprise|On Maintenance|4935|Diconex
494|Orion Engineering, Inc. (jul-05)|FL|US|AWR-SE|Enterprise|Off Maintenance|494|Orion Engineering, Inc. (jul-05)
4953|NTT Advanced Technology Corporation|Tokyo|JP|AWR-JP|Enterprise|Ex-Customer|4953|NTT Advanced Technology Corporation
4955|Green Mountian Radio Reserach Co.|VT|US|AWR-NE|Enterprise|Ex-Customer|4955|Green Mountian Radio Reserach Co.
496|Pacific Millimeter Products (mar-99)|WA|US|AWR-NW|Enterprise|Off Maintenance|496|Pacific Millimeter Products (mar-99)
4971|Federal Public Unitary Establishment - Scientific-Research Institute of Electrical Engineering|Voronezh|RU|ETR|Enterprise|Ex-Customer|4971|Federal Public Unitary Establishment
4983|Cyntec|Hsin-Chu City|TW|AWR-TSMC|Enterprise|Off Maintenance|4983|Cyntec
4987|Texas Instruments (TI) Norway AS (may-12)|Oslo|NO|AWR-SC|Regional Office|Off Maintenance|6757|Texas Instruments (TI)
4995|Cypress Semiconductor - Oregon Design Center|OR|US|AWR-NW|Enterprise|Ex-Customer|4995|Cypress Semiconductor
500|Pavotec (mar-11)|Albstadt|DE|AWR-DE|Enterprise|Off Maintenance|500|Pavotec (mar-11)
5005|Sharp Corporation|Chiba|JP|AWR-JP|Regional Office|On Maintenance|7935|Sharp Corporation (dec-13)
5011|US Army Research Lab|MD|US|AWR-SE|Enterprise|On Maintenance|5011|US Army Research Lab
5018|Shonan Institute of Technology|Kanagawa|JP|NI-JP|University|Ex-Customer|5018|Shonan Institute of Technology
502|P-COM|FL|US|AWR-SE|Enterprise|Ex-Customer|502|P-COM
5030|Ecole Polytechnique De L'Universite De Nantes|Nantes|FR|AWR-NI|University|Ex-Customer|5030|Ecole Polytechnique De L'Universite De Nantes
5032|Asahi Glass Co., Ltd. - Research Center|Kanagawa|JP|AWR-JP|Enterprise|On Maintenance|5032|Asahi Glass Co., Ltd.
5034|Ooi Electric Co., Ltd. - Sendai Research and Development Center Research group|Miyagi|JP|AWR-JP|Enterprise|Off Maintenance|5034|Ooi Electric Co., Ltd.
5037|Delta Dore SA|Etrelles|FR|AWR-FR|Enterprise|Off Maintenance|5037|Delta Dore SA
5041|Olympus Optical Co. Ltd. (aug-06)|Tokyo|JP|AWR-JP|Enterprise|Off Maintenance|5041|Olympus Optical Co. Ltd. (aug-06)
5043|Fujitsu Laboratories Ltd. - Atsugi - Device R&D Lab.|Kanagawa|JP|AWR-JP|Regional Office|On Maintenance|10040049|Fujitsu
5045|Finisar Germany GmbH|Entwicklung|DE|AWR-DE|Regional Office|On Maintenance|5828|Finisar Corporation
5047|ESL Defence Ltd|Hampshire|GB|AWR-UK|Enterprise|Ex-Customer|5047|ESL Defence Ltd
5055|Toshiba Components Co., Ltd (dec-07)|Chiba|JP|AWR-JP|Regional Office|Off Maintenance|10040051|Toshiba
5062|University of Leeds - School of Electrical & Electronic Engineering|West Yorkshire|GB|Default Value|University|On Maintenance|5062|University of Leeds
5062|University of Leeds - School of Electrical & Electronic Engineering|West Yorkshire|GB|AWR|University|On Maintenance|5062|University of Leeds
5066|Cobham SATCOM|Lyngby|DK|AWR-APL|Regional Office|On Maintenance|9286|Cobham Plc
5068|DA-Lightcom (Sep-05)|Lannion|FR|AWR-FR|Enterprise|Out of Business|5068|DA-Lightcom (Sep-05)
507|Pinpoint Company|MA|US|AWR-NE|Enterprise|Out of Business|507|Pinpoint Company
5086|Ocean Signal Limited|Kent|GB|AWR-UK|Regional Office|Off Maintenance|9217|Navico Norway AS
5087|Simrad - Stovring|Stovring|DK|AWR-APL|Regional Office|Out of Business|9217|Navico Norway AS
509|Politecnico di Milano|Milano|IT|MED|University|On Maintenance|509|Politecnico di Milano
51|Cobham Defense Electronics - Sensor & Antenna Systems - Lansdale|PA|US|AWR-NE|Regional Office|On Maintenance|9286|Cobham Plc
511|Politecnico di Torino - Dip. di Elettronica|Torino|IT|AWR-EU|University|On Maintenance|511|Politecnico di Torino
5115|Pace Micro Technology|West Yorkshire|GB|AWR-UK|Enterprise|Ex-Customer|5115|Pace Micro Technology
5120|Rodnik Software Inc. (Training Center)|Moscow|RU|AWR-NI|Regional Office|Ex-Customer|1459|Rodnik SPE, Inc.
5127|Net Nhanh Co., Ltd.|Ho Chi Minh City|VN|NET|Rep|On Maintenance|5127|Net Nhanh Co., Ltd.
5128|Semtech DBA Sierra Monolithics - Redondo Beach|CA|US|AWR-SW|Regional Office|On Maintenance|10361|Semtech, Inc.
5138|University of Indonesia - Department of Electrical Engineering|Depok|ID|AWR-NI|University|Ex-Customer|5138|University of Indonesia
514|Prime Electronic & Satellitics Inc.|Taoyuan|TW|AWR-TSMC|Enterprise|Off Maintenance|514|Prime Electronic & Satellitics Inc.
5144|Furuno Electric Co., Ltd.|Hyogo|JP|AWR-JP|Enterprise|On Maintenance|5144|Furuno Electric Co., Ltd.
5147|CadQal Development, Inc. (17-feb-05)|MA|US|AWR-NE|Enterprise|Ex-Customer|5147|CadQal Development, Inc. (17-feb-05)
515|Princeton Microwave Technology Inc.|NJ|US|AWR-NE|Enterprise|No Service/Support|515|Princeton Microwave Technology Inc.
5152|EE Solutions (04-feb-05)|Hsinchu|TW|AWR-TSMC|Enterprise|Ex-Customer|5152|EE Solutions (04-feb-05)
5154|Duane Harvey|CA|US|AWR-SE|Enterprise|Off Maintenance|5154|Duane Harvey
5162|Fachhochschule Muenster - Labor fuer Hochfrequenz und Mikrowellentecknik|Steinfurt|DE|AWR-NI|University|Ex-Customer|5162|Fachhochschule Muenster
5168|Ingenieurbuero Gronefeld|Herten|DE|AWR-DE|Enterprise|On Maintenance|5168|Ingenieurbuero Gronefeld
517|Putnam RF Components (apr-02)|NH|US|AWR-NE|Enterprise|Off Maintenance|517|Putnam RF Components (apr-02)
5180|Synopsys, Inc.|CA|US|AWR-NW|Enterprise|Partner|5180|Synopsys, Inc.
5182|Bremen University of Applied Sciences (Hochschule Bremen) - Department of Electrical Engineering and Computer Science|Bremen|DE|AWR-NI|University|On Maintenance|5182|Bremen University of Applied Sciences (Hochschule Bremen)
5200|University of Nottingham - Malaysia Campus|Kuala Lumpar|MY|AWR-NI|University|Ex-Customer|5200|University of Nottingham
521|Clear Blue Engineering (aug-05)|CO|US|AWR-SW|Enterprise|Off Maintenance|521|Clear Blue Engineering (aug-05)
5210|Motorola A/S|Glostrup|DK|AWR-APL|Regional Office|Ex-Customer|433|Motorola
5228|Kwangwoon University|Seoul|KR|AWR-NI|University|On Maintenance|5228|Kwangwoon University
523|Thales UK Ltd. (mar-08)|London|GB|AWR-UK|Regional Office|Ex-Customer|914|Thales
5230|Flextronics Design Asia Pte Ltd|missing|SG|RSE|Regional Office|Ex-Customer|8408|Flextronics
5233|L-3 Communications - Nova Engineering|OH|US|AWR-NE|Regional Office|Out of Business|9134|L-3 Communications Holdings, Inc.
525|Radiant Networks (dec-04)|Essex|GB|AWR-UK|Enterprise|Out of Business|525|Radiant Networks (dec-04)
5257|Fujitsu Laboratories Ltd. - Kanagawa - Hardware Technologies Laboratories, Product Engineering Lab.|Kanagawa|JP|AWR-JP|Regional Office|Off Maintenance|10040049|Fujitsu
5262|ITT Industries - Advanced Engineering and Sciences (AES) - PA|PA|US|AWR-NE|Site|Off Maintenance|9198|ITT Exelis
5264|Philips Medical Systems Nederland B.V.|Best|NL|AWR-BNL|Regional Office|On Maintenance|8427|Philips
527|Rajamangala Institute of Technology|missing|TH|AWR-NI|University|Ex-Customer|527|Rajamangala Institute of Technology
5286|Heriot Watt University - School of Engineering & Physical Sciences - Department of Electrical Engineering|Midlothian|GB|AWR-NI|University|On Maintenance|5286|Heriot Watt University
529|Raytheon Canada Ltd.|ON|CA|AWR-NE|Regional Office|On Maintenance|6173|Raytheon
5290|Spectra Research|OH|US|AWR-NE|Enterprise|Off Maintenance|5290|Spectra Research
5308|Spectra Wireless, Inc.|CA|US|AWR-SW|Enterprise|Ex-Customer|5308|Spectra Wireless, Inc.
5312|University of Westminster - Wireless Comms Research Group|London|GB|AWR-NI|University|Ex-Customer|5312|University of Westminster
5322|San Jose State University|CA|US|Default Value|University|On Maintenance|5322|San Jose State University
5322|San Jose State University|CA|US|AWR|University|On Maintenance|5322|San Jose State University
5328|MuChip Co., Ltd.|Hsin-Chu|TW|AWR-AP|Enterprise|Out of Business|5328|MuChip Co., Ltd.
533|Wireless Multimedia Solutions|NC|US|AWR-SE|Enterprise|No Service/Support|533|Wireless Multimedia Solutions
5337|Sumiden Opcom, Ltd. - Engineering Department - Photo Transmission Systems Division (nov-10)|Kanagawa|JP|AWR-JP|Enterprise|Off Maintenance|5337|Sumiden Opcom, Ltd.
5341|Chengdu Seekon Microwave Communications (jan-07)|Sichuan|CN|AWR-TSMC|Enterprise|Off Maintenance|5341|Chengdu Seekon Microwave Communications (jan-07)
5348|AWR Corporation - CE Region|TX|US|AWR-CE|Rep|On Maintenance|5348|AWR Corporation
5355|AWR Corporation - NE Region|CA|US|AWR-NE|Rep|On Maintenance|5355|AWR Corporation
5359|Haute Ecole Arc IngTnierie|Le Locle|CH|AWR-NI|University|Ex-Customer|5359|Haute Ecole Arc Ing?nierie
5361|Technische Universitat Graz  - uW and Photonic Engineering|Steiermark|DE|AWR-NI|University|On Maintenance|5361|Technische Universitat Graz 
5374|Osaka University - Toyonaka Campus|Osaka|JP|NI-JP|University|Ex-Customer|5374|Osaka University
5386|Quorum Communications (nov-06)|TX|US|AWR-CE|Enterprise|Off Maintenance|5386|Quorum Communications (nov-06)
5389|Technical Systems Integrators (aug-1-05)|FL|US|AWR-SE|Enterprise|Ex-Customer|5389|Technical Systems Integrators (aug-1-05)
539|RF Micro Devices, Inc. - Scotts Valley (oct-01)|CA|US|AWR-NW|Site|On Maintenance|541|RF Micro Devices, Inc.
5393|EMP-Centauri s.r.o.|Klatovy|CZ|RSA|Enterprise|Off Maintenance|5393|EMP-Centauri s.r.o.
5399|Arcom Labs, Inc.|NY|US|AWR-NE|Enterprise|On Maintenance|5399|Arcom Labs, Inc.
54|SELEX ES Ltd. - Basildon|Essex|GB|AWR-UK|Site|On Maintenance|9081|Finmeccanica
541|RF Micro Devices, Inc. - Greensboro|NC|US|AWR-SE|Enterprise|On Maintenance|541|RF Micro Devices, Inc.
5428|Allgon Systems Oy (nov-07)|Pattijoki|FI|AWR-APL|Regional Office|Off Maintenance|8918|Advantech Allgon Microwave (sep-08)
5432|PIT-RADWAR SA|Warsaw|PL|RSO|Enterprise|On Maintenance|5432|PIT-RADWAR SA
5434|Confluent RF Systems|CO|US|AWR-SW|Regional Office|Ex-Customer|1015|Northrop Grumman Systems Corporation
5438|AWR Corporation - SW Region|CA|US|AWR-SW|Rep|On Maintenance|5438|AWR Corporation
5451|Xiamen University|Fujian|CN|AWR-NI|University|Ex-Customer|5451|Xiamen University
5453|kukum Kolej Universiti Kejuruteraan Utar - PPK Komputer & Perhubungan|Perlis|MY|AWR-NI|University|Ex-Customer|5453|kukum Kolej Universiti Kejuruteraan Utar
5455|Swinburne University of Technology - Biophysical Science & Electrical Engineering|VIC|AU|AWR-NI|University|Ex-Customer|5455|Swinburne University of Technology
5467|Cadence Design Systems - Parent|CA|US|AWR-NW|Enterprise|Partner|5467|Cadence Design Systems
5471|Thales UK (Central Operations)|West Sussex|GB|AWR-UK|Regional Office|On Maintenance|914|Thales
5474|Akita Electronics Systems Co. Ltd. (dec-05)|Akita|JP|AWR-JP|Enterprise|Off Maintenance|5474|Akita Electronics Systems Co. Ltd. (dec-05)
5479|Technical Systems Integrators (aug-1-05)|FL|US|AWR-SE|Enterprise|Ex-Customer|5479|Technical Systems Integrators (aug-1-05)
548|RF Micro Devices IPG (mar-14) Group - NC|NC|US|AWR-SE|Regional Office|On Maintenance|541|RF Micro Devices, Inc.
5482|Sumitomo Electric USA, Inc.|CA|US|AWR-NW|Regional Office|Ex-Customer|9405|Sumitomo Electric Industries, Ltd.
549|RF Solutions|GA|US|AWR-SE|Enterprise|Ex-Customer|549|RF Solutions
5491|Fujitsu Laboratories Ltd. - YRP R&D Center - Yokosuka (mar-13)|Kanagawa|JP|AWR-JP|Regional Office|Off Maintenance|10040049|Fujitsu
5496|IDSI, LLC - a General Dynamics Company - Glen Rock|PA|US|AWR-NE|Site|On Maintenance|1998|Crescend Technologies, L.L.C.
5498|Indian Institute of Technology - Department of Electrical Engineering - Madras|Chennai|IN|AWR-NI|University|On Maintenance|5498|Indian Institute of Technology
5500|Indian Institute of Science - Department of EE - Bangalore|Karnataka|IN|AWR-NI|University|On Maintenance|5500|Indian Institute of Science
5502|HBL Elta Avionics Systems Pvt. Ltd. - Hyderabad|Andhra Pradesh|IN|IDA|Enterprise|Off Maintenance|5502|HBL Elta Avionics Systems Pvt. Ltd.
5503|University Electronic Science & Technology China (may-06)|Sichuan|CN|AWR-TSMC|Enterprise|Off Maintenance|5503|University Electronic Science & Technology China (may-06)
5505|Actipass Co. Ltd. (jan-09)|Kyunggi-Do|KR|AWR-KR|Enterprise|Off Maintenance|5505|Actipass Co. Ltd. (jan-09)
5509|Birzeit University|West Bank|IL|AWR-NI|University|Ex-Customer|5509|Birzeit University
551|Rohde & Schwarz GmbH & Co. KG - Munich|Bayern|DE|AWR-DE|Enterprise|On Maintenance|551|Rohde & Schwarz GmbH & Co. KG
553|Roke Manor Research Ltd|Hampshire|GB|AWR-UK|Regional Office|On Maintenance|10010005|Siemens AG
5543|Thales Alenia Space - L'Aquila|L'Aquila|IT|MED|Regional Office|Off Maintenance|914|Thales
5566|Honeywell - EMS Technologies, Inc. - Headquarters|GA|US|AWR-SE|Regional Office|On Maintenance|8870|Honeywell International Inc.
557|Rotek Elektronik (mar-03)|Lippelsdorf|DE|AWR-DE|Enterprise|Off Maintenance|557|Rotek Elektronik (mar-03)
5579|Sandia National Laboratories - CL (oct-03)|NM|US|AWR-SW|Regional Office|Off Maintenance|579|Sandia National Laboratories
559|RSI/Anghel Laboratories|NJ|US|AWR-NE|Enterprise|Ex-Customer|559|RSI/Anghel Laboratories
5597|Ridgetop Group Inc.|AZ|US|AWR-SW|Enterprise|No Service/Support|5597|Ridgetop Group Inc.
56|Ball Aerospace and Technology|CO|US|AWR-SW|Enterprise|On Maintenance|56|Ball Aerospace and Technology
5607|Seiko Epson Corporation - PRODUCTION ENGINEERING CENTER (nov-11)|Nagano|JP|AWR-JP|Enterprise|Off Maintenance|5607|Seiko Epson Corporation
561|RTX Telecom AS|Norresundby|DK|AWR-APL|Enterprise|Off Maintenance|561|RTX Telecom AS
562|SAAB Avitronics|Stockholm|SE|AWR-SC|Regional Office|On Maintenance|8981|SAAB AB
5624|Institute for Infocomm Research (IIR)|Singapore|SG|AWR-NI|University|On Maintenance|5624|Institute for Infocomm Research (IIR)
5626|Seoul National University|Seoul|KR|AWR-NI|University|Ex-Customer|5626|Seoul National University
5639|Centre for Airborne Systems (CABS)|Bangalore|IN|IDA|Regional Office|Off Maintenance|9418|Defence Research & Development Organisation (DRDO)
564|SAAB Ericsson Microelectronics AB|M÷lndal|SE|AWR-SC|Enterprise|Out of Business|564|SAAB Ericsson Microelectronics AB
5647|OnePass Solutions (01-feb-05)|Haidian|CN|AWR-TSMC|Enterprise|Ex-Customer|5647|OnePass Solutions (01-feb-05)
5655|Panasonic Corporation - Automotive Systems Company Business Development Center (mar-10)|Kanagawa|JP|AWR-JP|Regional Office|Off Maintenance|9429|Panasonic
566|Sagem SAS - Cergy|Cedex|FR|AWR-FR|Regional Office|On Maintenance|8920|Sagem Communication
5663|Atilim University - Electrical Engineering Department|Ankara|TR|Default Value|University|On Maintenance|5663|Atilim University
5663|Atilim University - Electrical Engineering Department|Ankara|TR|AWR|University|On Maintenance|5663|Atilim University
5667|Qinetiq Ltd. - Farnborough (feb-06)|Hampshire|GB|AWR-UK|Regional Office|Off Maintenance|186|Qinetiq Ltd.
568|API Technologies Corporation - DE (dec-07)|DE|US|AWR-SE|Regional Office|Off Maintenance|10776|API Technologies Corporation
5682|California Institute of Technology (Caltech) - Electrical Engineering Department|CA|US|AWR-NI|University|On Maintenance|5682|California Institute of Technology (Caltech)
5691|Dokuz Eylnl _niversitesi, Mnhendislik Faknltesi, Elektrik-Elektronik B÷lnmn|Izmir|TR|AWR-NI|University|Ex-Customer|5691|Dokuz Eyl?l ?niversitesi, M?hendislik Fak?ltesi, Elektrik-Elektronik B?l?m?
5699|BOE HYDIS Technology Co., Ltd. - New Product Design Group (feb-08)|Gyeonggi-do|KR|AWR-KR|Enterprise|Off Maintenance|5699|BOE HYDIS Technology Co., Ltd.
5728|Canon, Inc. - Headquarters Invisible Imaging Research Dept. 2  Frontier Research Center (jul-11)|Tokyo|JP|AWR-JP|Enterprise|Off Maintenance|5728|Canon, Inc.
573|Samsung Electronics America ENC Inc (feb-03)|CA|US|AWR-SW|Regional Office|Off Maintenance|9167|Samsung
5735|Repwave Inc.|ON|CA|AWR-NE|Enterprise|Ex-Customer|5735|Repwave Inc.
574|BAE Systems - Electronics & Integrated Systems Operating Group|NH|US|AWR-NE|Regional Office|On Maintenance|9201|BAE Systems plc
5741|Conifer Technology (aug-1-2005)|CO|US|AWR-SW|Enterprise|Ex-Customer|5741|Conifer Technology (aug-1-2005)
5745|Ericsson AB - Stockholm|Stockholm|SE|AWR-SC|Site|On Maintenance|1050|LM Ericsson
5753|Teledyne Microwave - Mountain View|CA|US|AWR-NW|Regional Office|On Maintenance|9047|Teledyne Technologies Incorporated
5761|Space Oriented Higashiosaka Leading Association (SOHLA) (sep-12)|Osaka|JP|AWR-JP|Enterprise|Off Maintenance|5761|Space Oriented Higashiosaka Leading Association (SOHLA) (sep-12)
5776|Minebea Co. Ltd.|Shizuoka-Ken|JP|AWR-JP|Enterprise|Ex-Customer|5776|Minebea Co. Ltd.
5779|Cobham Sensor Systems - Microwave Electroniics Unit|CA|US|AWR-NW|Site|On Maintenance|9286|Cobham Plc
579|Sandia National Laboratories - JK (apr-06)|NM|US|AWR-SW|Enterprise|Off Maintenance|579|Sandia National Laboratories
5790|Harris Corporation - RF Communications Division - NY|NY|US|AWR-NE|Regional Office|On Maintenance|9044|Harris Corporation Headquarters
5796|WV Communications|CA|US|AWR-SW|Enterprise|Off Maintenance|5796|WV Communications
5799|Maury Microwave Corporation|CA|US|AWR-SW|Enterprise|Partner|5799|Maury Microwave Corporation
5803|Andrew - Bruges (ATBF)|Bruges|FR|AWR-FR|Site|On Maintenance|9022|CommScope, Inc.
5813|Para-Mega Ltd|Budapest|HU|RSH|Enterprise|Off Maintenance|5813|Para-Mega Ltd
5821|Retia a.s.|Pardubice|CZ|RSA|Enterprise|Off Maintenance|5821|Retia a.s.
5826|European Aeronautic Defence and Space (EADS) Deutschland GmbH - Innovation Works|Bavaria|DE|AWR-DE|Regional Office|On Maintenance|9271|European Aeronautic Defence and Space (EADS) N.V.
5828|Finisar Corporation - Sunnyvale|CA|US|AWR-NW|Enterprise|On Maintenance|5828|Finisar Corporation
583|Panasonic Corporation - Electronic Components and Materials BU, Device Company|Osaka|JP|AWR-JP|Regional Office|Off Maintenance|9429|Panasonic
5836|Mitsubishi Electric Corporation (mar-06)|Hyogo|JP|AWR-JP|Regional Office|Off Maintenance|9023|Mitsubishi Electric Corporation
5838|Shikoku Polytechnic College|Kagawa|JP|NI-JP|University|On Maintenance|5838|Shikoku Polytechnic College
5840|Northern Radio & Wireless (UTTC)|QC|CA|AWR-NE|Enterprise|Out of Business|5840|Northern Radio & Wireless (UTTC)
5846|Home Office Scientific Development Branch (mar-12)|Hertfordshire|GB|AWR-UK|Enterprise|Off Maintenance|5846|Home Office Scientific Development Branch (mar-12)
585|Sarnoff Corporation (apr-06)|NJ|US|AWR-NE|Enterprise|Off Maintenance|585|Sarnoff Corporation (apr-06)
5851|Nortel Networks|ON|CA|AWR-NE|Regional Office|Ex-Customer|1356|Nortel
5855|The Army University of Technology (Armens)|Ostersund|SE|AWR-NI|University|Ex-Customer|5855|The Army University of Technology (Armens)
5859|Alpha 2 Omega RF Components LLC|NH|US|AWR-NE|Enterprise|Off Maintenance|5859|Alpha 2 Omega RF Components LLC
5884|Microwave Packaging Technology, Inc.|CA|US|AWR-SW|Enterprise|On Maintenance|5884|Microwave Packaging Technology, Inc.
