custid|custname|city|country|territory|type|status|parentid|pname
10010172|Fujitsu Microelectronics Europe (oct-13)|Berkshire|GB|AWR-APL|Regional Office|Off Maintenance|10040049|Fujitsu
10010176|Gawell Semiconductor (jan-04)|Taipei Hsien|TW|AWR-TSMC|Enterprise|Off Maintenance|10010176|Gawell Semiconductor (jan-04)
10010178|Institut Tun Husein Onn at Malaysia|missing|MY|AWR-NI|University|Ex-Customer|10010178|Institut Tun Husein Onn at Malaysia
10010180|Toshiba Corporation - Komukai Operations, Microwave Solid-State Engineering Department|Kanagawa|JP|AWR-JP|Regional Office|On Maintenance|10040051|Toshiba
10010182|Celestica Asia Inc.|CA|US|AWR-NW|Regional Office|Out of Business|96|Celestica
10010186|EXA Technologies |Tokyo|JP|AWR-JP|Enterprise|On Maintenance|10010186|EXA Technologies 
10010188|Nippon Telegraph and Telephone Corporation (NTT) - Wireless System Innovation Lab (jan-02)|Kanagawa|JP|AWR-JP|Regional Office|Off Maintenance|9972|Nippon Telegraph and Telephone Corporation (NTT)
10010190|Micromobio Corporation|Tokyo|JP|AWR-JP|Enterprise|Off Maintenance|10010190|Micromobio Corporation
10010192|Primax Electronics (jan-02)|Taipei|TW|AWR-TSMC|Enterprise|Off Maintenance|10010192|Primax Electronics (jan-02)
10010194|Avalon Photonics AG (jun-05)|Zurich|CH|WLB|Enterprise|Off Maintenance|10010194|Avalon Photonics AG (jun-05)
10010196|Communications & Power Industries, Inc. (CPII) - Beverly Microwave Division|MA|US|AWR-NE|Enterprise|On Maintenance|10010196|Communications & Power Industries, Inc. (CPII)
10010198|Purdue University - College of Technology|IN|US|AWR-NI|University|On Maintenance|10010198|Purdue University
10010200|Young Woo Telecom (aug-04)|Kyungki-do|KR|AWR-KR|Enterprise|Off Maintenance|10010200|Young Woo Telecom (aug-04)
10010202|Sony EMCS Corporation (jan-12)|Chiba|JP|AWR-JP|Regional Office|Off Maintenance|0|Sony Corporation
10010204|Extrabit Ltd.|Oulu|FI|AWR-APL|Enterprise|Ex-Customer|10010204|Extrabit Ltd.
10010206|Air Force Engineering University, Missle|missing|CN|AWR-NI|University|Ex-Customer|10010206|Air Force Engineering University, Missle
10010208|Premier Devices Inc|CA|US|AWR-NW|Enterprise|No Service/Support|10010208|Premier Devices Inc
10010210|Panasonic Electronic Component Co., Ltd. - Microwave Product Division|Aichi-ken|JP|AWR-JP|Regional Office|Ex-Customer|9429|Panasonic
